,DIST_NAME,INCOME,,,DIST_NAME_other spreadsheet (MikesData)
,,,,,Wyckoff Township Public School District
,,,,,Wyckoff Township Public School District
,,,,,Wyckoff Township Public School District
,,,,,Absecon Public Schools District
,,,,,Absecon Public Schools District
,,,,,Atlantic City School District
,,,,,Atlantic City School District
,,,,,Atlantic City School District
,,,,,Atlantic City School District
,,,,,Atlantic City School District
,,,,,Atlantic City School District
,,,,,Atlantic City School District
,,,,,Atlantic City School District
,,,,,Atlantic City School District
,,,,,Atlantic City School District
,,,,,Atlantic County Vocational School District
,,,,,Brigantine Public School District
,,,,,Brigantine Public School District
,,,,,Buena Regional School District
,,,,,Buena Regional School District
,,,,,Nutley Public School District
,,,,,Roseland School District
,,,,,South Orange-Maplewood School District
,,,,,South Orange-Maplewood School District
,,,,,South Orange-Maplewood School District
,,,,,South Orange-Maplewood School District
,,,,,South Orange-Maplewood School District
,,,,,South Orange-Maplewood School District
,,,,,South Orange-Maplewood School District
,,,,,South Orange-Maplewood School District
,,,,,South Orange-Maplewood School District
,,,,,Verona Public School District
,,,,,Verona Public School District
,,,,,Stratford School District
,,,,,Voorhees Township School District
,,,,,Voorhees Township School District
,,,,,Voorhees Township School District
,,,,,Voorhees Township School District
,,,,,Voorhees Township School District
,,,,,Waterford Township School District
,,,,,Waterford Township School District
,,,,,Waterford Township School District
,,,,,Winslow Township School District
,,,,,Berlin Borough School District
,,,,,Berlin Township School District
,,,,,Berlin Township School District
,,,,,Black Horse Pike Regional School District
,,,,,Black Horse Pike Regional School District
,,,,,Black Horse Pike Regional School District
,,,,,Cherry Hill School District
,,,,,Cherry Hill School District
,,,,,Cherry Hill School District
,,,,,Cherry Hill School District
,,,,,Cherry Hill School District
,,,,,Cherry Hill School District
,,,,,Mount Laurel Township School District
,,,,,Mount Laurel Township School District
,,,,,Mount Laurel Township School District
,,,,,Mount Laurel Township School District
,,,,,Mount Laurel Township School District
,,,,,New Hanover Township
,,,,,North Hanover Township School District
,,,,,North Hanover Township School District
,,,,,North Hanover Township School District
,,,,,Lyndhurst School District
,,,,,Lyndhurst School District
,,,,,Lyndhurst School District
,,,,,Lyndhurst School District
,,,,,Lyndhurst School District
,,,,,Mahwah Township Public School District
,,,,,Mahwah Township Public School District
,,,,,Mahwah Township Public School District
,,,,,Mahwah Township Public School District
,,,,,Mahwah Township Public School District
,,,,,Mahwah Township Public School District
,,,,,Maywood School District
,,,,,Maywood School District
,,,,,Midland Park School District
,,,,,Midland Park School District
,,,,,Montvale Board Of Education School District
,,,,,Verona Public School District
,,,,,Verona Public School District
,,,,,Gloucester City Public School District
,,,,,Gloucester Township Public Schools
,,,,,Fort Lee School District
,,,,,Fort Lee School District
,,,,,Fort Lee School District
,,,,,Fort Lee School District
,,,,,Elizabeth Public Schools
,,,,,Union County Vocational-Technical School District
,,,,,Barnegat Township School District
,,,,,Pennsauken Township Board Of Education School District
,,,,,Vineland Public School District
,,,,,Bordentown Regional School District
,,,,,Bordentown Regional School District
,,,,,Bordentown Regional School District
,,,,,Bordentown Regional School District
,,,,,Burlington City Public School District
,,,,,Burlington City Public School District
,,,,,Burlington City Public School District
,,,,,Burlington City Public School District
,,,,,Burlington County Special Services School District
,,,,,Burlington County Special Services School District
,,,,,Burlington County Institute of Technology School District
,,,,,Burlington County Institute of Technology School District
,,,,,Burlington Township School District
,,,,,Burlington Township School District
,,,,,Burlington Township School District
,,,,,Chesterfield Township School District
,,,,,Cinnaminson Township Public Schools
,,,,,Cinnaminson Township Public Schools
,,,,,Cinnaminson Township Public Schools
,,,,,Cinnaminson Township Public Schools
,,,,,Delanco Township School District
,,,,,Delanco Township School District
,,,,,Delran Township School District
,,,,,Gloucester Township Public Schools
,,,,,Gloucester Township Public Schools
,,,,,Gloucester Township Public Schools
,,,,,Gloucester Township Public Schools
,,,,,Gloucester Township Public Schools
,,,,,Gloucester Township Public Schools
,,,,,Gloucester Township Public Schools
,,,,,Gloucester Township Public Schools
,,,,,Gloucester Township Public Schools
,,,,,Gloucester Township Public Schools
,,,,,Verona Public School District
,,,,,Atlantic Community Charter School
,,,,,Bergen Arts And Sciences Charter School
,,,,,Classical Academy Charter School of Clifton
,,,,,College Achieve Central Charter School
,,,,,Community Charter School Of Paterson
,,,,,East Orange Community Charter School
,,,,,Empowerment Academy Charter School
,,,,,Englewood On The Palisades Charter School
,,,,,John P. Holland Charter School
,,,,,Passaic Arts And Science Charter School
,,,,,Paterson Arts And Science Charter School
,,,,,Paterson Charter School For Science/Technology
,,,,,Sussex County Technology Charter School
,,,,,Teaneck Community Charter School
,,,,,The Barack Obama Green Charter High School
,,,,,Unity Charter School
,,,,,Bridgeton Public Charter School
,,,,,Chartertech High School For The Performing Arts
,,,,,Millville Public Charter School
,,,,,Vineland Public Charter School
,,,,,Compass Academy Charter School
,,,,,The Kingdom Charter School Of Leadership
,,,,,Freedom Prep Charter School
,,,,,Camden'S Promise Charter School
,,,,,Hope Community Charter School
,,,,,Environment Community Opportunity (Eco) Charter School
,,,,,Leap Academy University Charter School
,,,,,"Mastery Schools Of Camden, Inc. "
,,,,,Camden'S Promise Charter School
,,,,,Camden'S Promise Charter School
,,,,,Camden'S Promise Charter School
,,,,,Benjamin Banneker Preparatory Charter School
,,,,,Riverbank Charter School Of Excellence
,,,,,Academy Charter High School
,,,,,Trenton Stem-To-Civics Charter School
,,,,,International Charter School
,,,,,Hope Academy Charter School
,,,,,Foundation Academy Charter School
,,,,,Pace Charter School Of Hamilton
,,,,,Paul Robeson Charter School For The Humanities
,,,,,The Village Charter School
,,,,,Red Bank Charter School
,,,,,Princeton Charter School
,,,,,Hatikvah International Academy Charter School
,,,,,Thomas Edison Energysmart Charter School
,,,,,Greater Brunswick Charter School
,,,,,Academy For Urban Leadership Charter School
,,,,,Central Jersey College Prep Charter School
,,,,,The Queen City Academy Charter School
,,,,,Union County Teams Charter School
,,,,,Jersey City Community Charter School
,,,,,Soaring Heights Charter School
,,,,,University Academy Charter High School
,,,,,Dr Lena Edwards Academic Charter School
,,,,,Great Oaks Legacy Charter School
,,,,,Learning Community Charter School
,,,,,Link Community Charter School
,,,,,M.E.T.S. Charter School
,,,,,Burch Charter School Of Excellence
,,,,,The Gray Charter School
,,,,,Newark Educators Community Charter School
,,,,,Discovery Charter School
,,,,,Teaneck Twp
,,,,,Teaneck Twp
,,,,,Glen Rock Boro
,,,,,Paramus Boro
,,,,,River Edge Boro
,,,,,Ridgewood Village
,,,,,Morris School District
,,,,,Morris School District
,,,,,Hanover Twp
,,,,,Mount Arlington Boro
,,,,,Mount Olive Twp
,,,,,Bedminster Twp
,,,,,Flemington-Raritan Reg
,,,,,Clinton Twp
,,,,,Frenchtown Boro
,,,,,Cranbury Twp
,,,,,East Windsor Regional
,,,,,Mount Laurel Twp
,,,,,Mount Laurel Twp
,,,,,Westampton
,,,,,Mount Laurel Twp
,,,,,Willingboro Twp
,,,,,Cherry Hill Twp
,,,,,Gloucester Twp
,,,,,Camden City
,,,,,Cherry Hill Twp
,,,,,Merchantville Boro
,,,,,Boonton Town
,,,,,Denville Twp
,,,,,Denville Twp
,,,,,Florham Park Boro
,,,,,Kinnelon Boro
,,,,,Long Hill Twp
,,,,,Madison Boro
,,,,,Montville Twp
,,,,,Montville Twp
,,,,,Morris School District
,,,,,Morris School District
,,,,,Mountain Lakes Boro
,,,,,Mountain Lakes Boro
,,,,,Boonton Town
,,,,,Pequannock Twp
,,,,,Randolph Twp
,,,,,Randolph Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Great Oaks Legacy Charter School
,,,,,Peoples Preparatory Charter School
,,,,,Marion P. Thomas Charter School
,,,,,New Horizons Community Charter School
,,,,,The Ethical Community Charter School
,,,,,Jersey City Golden Door Charter School
,,,,,Hoboken Dual Language Charter School
,,,,,Elysian Charter School of Hoboken
,,,,,North Star Academy Charter School
,,,,,University Heights Charter School
,,,,,Hoboken Charter School
,,,,,Philip's Academy Charter School
,,,,,Pride Academy Charter School
,,,,,Jersey City Global Charter School
,,,,,Roseville Community Charter School
,,,,,Robert Treat Academy Charter School
,,,,,Maria Varisco Rogers Charter School
,,,,,Ridge And Valley Charter School
,,,,,Lakewood Twp
,,,,,Clifton City
,,,,,Mountainside Boro
,,,,,North Wildwood City
,,,,,Ocean Twp
,,,,,Somerset Hills Regional
,,,,,Mountainside Boro
,,,,,Hackensack City
,,,,,Mahwah Twp
,,,,,Mahwah Twp
,,,,,Midland Park Boro
,,,,,Oakland Boro
,,,,,Oakland Boro
,,,,,Paramus Boro
,,,,,River Edge Boro
,,,,,Rochelle Park Twp
,,,,,Paramus Boro
,,,,,Paramus Boro
,,,,,River Edge Boro
,,,,,Saddle Brook Twp
,,,,,Tenafly Boro
,,,,,Mount Laurel Twp
,,,,,Belleville Town
,,,,,Bloomfield Twp
,,,,,Millburn Twp
,,,,,Newark City
,,,,,Newark City
,,,,,Jersey City
,,,,,Edison Twp
,,,,,Edison Twp
,,,,,North Brunswick Twp
,,,,,North Brunswick Twp
,,,,,Old Bridge Twp
,,,,,Old Bridge Twp
,,,,,Spotswood Boro
,,,,,Woodbridge Twp
,,,,,Woodbridge Twp
,,,,,Marlboro Twp
,,,,,Marlboro Twp
,,,,,Marlboro Twp
,,,,,Marlboro Twp
,,,,,Upper Freehold Regional
,,,,,Upper Freehold Regional
,,,,,Boonton Town
,,,,,Montville Twp
,,,,,Franklin Lakes Boro
,,,,,Randolph Township School District
,,,,,Randolph Twp
,,,,,Rockaway Twp
,,,,,Roxbury Twp
,,,,,Roxbury Twp
,,,,,School District Of The Chathams
,,,,,School District Of The Chathams
,,,,,Passaic City
,,,,,Sparta Twp
,,,,,Berkeley Heights Twp
,,,,,New Providence Boro
,,,,,Long Hill Twp 
,,,,,Westfield Town
,,,,,Westfield Town
,,,,,Westfield Town
,,,,,Washington Boro
,,,,,Oakland Boro
,,,,,Camden City
,,,,,Oakland Boro
,,,,,Oakland Boro
,,,,,Oradell Boro
,,,,,Paramus Boro
,,,,,Ramsey Boro
,,,,,Ridgewood Village
,,,,,River Edge Boro
,,,,,Wayne Twp
,,,,,Wayne Twp
,,,,,Teaneck Twp
,,,,,Teaneck Twp
,,,,,Tenafly Boro
,,,,,Upper Saddle River Boro
,,,,,Waldwick Boro
,,,,,Waldwick Boro
,,,,,Wyckoff Twp
,,,,,Wyckoff Twp
,,,,,Chesterfield Twp
,,,,,Florence Twp
,,,,,Willingboro Twp
,,,,,Camden City
,,,,,Haddon Heights Boro
,,,,,Pennsauken Twp
,,,,,Voorhees Twp
,,,,,Dennis Twp
,,,,,Newark City
,,,,,Newark City
,,,,,East Orange
,,,,,East Orange
,,,,,Livingston Twp
,,,,,Livingston Twp
,,,,,Millburn Twp
,,,,,Newark City
,,,,,Nutley Town
,,,,,South Orange-Maplewood 
,,,,,Jersey City
,,,,,Flemington-Raritan Reg
,,,,,Franklin Twp
,,,,,Hamilton Twp
,,,,,Hamilton Twp
,,,,,Hamilton Twp
,,,,,Princeton Regional
,,,,,W Windsor-Plainsboro Regional
,,,,,Cranbury Twp
,,,,,East Brunswick Twp
,,,,,East Brunswick Twp
,,,,,Edison Twp
,,,,,Edison Twp
,,,,,Edison Twp
,,,,,Edison Twp
,,,,,Highland Park
,,,,,Highland Park Boro
,,,,,Milltown Boro
,,,,,North Brunswick Twp
,,,,,Old Bridge Twp
,,,,,Old Bridge Twp
,,,,,Old Bridge Twp
,,,,,Old Bridge Twp
,,,,,Piscataway Twp
,,,,,Piscataway Twp
,,,,,Piscataway Twp
,,,,,South Brunswick Twp
,,,,,South River Boro
,,,,,School District Of The Chathams
,,,,,Green Twp
,,,,,Marlboro Twp
,,,,,Ocean Twp
,,,,,Red Bank Boro
,,,,,Boonton Town
,,,,,Beloved Community Charter School
,,,,,Cresthaven Academy Charter School
,,,,,Hudson Arts And Science Charter School
,,,,,International Academy Of Atlantic City Charter School
,,,,,Philip'S Academy Charter School Of Paterson
,,,,,Great Oaks Legacy Charter School
,,,,,Trenton City
,,,,,Hopewell Valley Regional
,,,,,Princeton Regional
,,,,,W Windsor-Plainsboro Reg
,,,,,W Windsor-Plainsboro Reg
,,,,,North Brunswick Twp
,,,,,North Brunswick Twp
,,,,,East Brunswick Twp
,,,,,East Brunswick Twp
,,,,,Marlboro Twp
,,,,,Manalapan-Englishtown Reg
,,,,,Freehold Twp
,,,,,Freehold Twp
,,,,,Jackson Twp
,,,,,Jackson Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Scotch Plains-Fanwood Reg
,,,,,Scotch Plains-Fanwood Reg
,,,,,Scotch Plains-Fanwood Reg
,,,,,Summit City
,,,,,Summit City
,,,,,Westfield Town
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Howell Twp
,,,,,Howell Twp
,,,,,Hazlet Twp
,,,,,Edison Twp
,,,,,New Brunswick City
,,,,,Edison Twp
,,,,,Highland Park Boro
,,,,,Metuchen Boro
,,,,,Metuchen Boro
,,,,,Metuchen Boro
,,,,,Edison Twp
,,,,,Westfield
,,,,,Westfield Town
,,,,,Cranford Twp
,,,,,Westfield Town
,,,,,Elizabeth City
,,,,,Jersey City
,,,,,Hoboken City
,,,,,Union City
,,,,,Passaic City
,,,,,East Rutherford
,,,,,Clifton City
,,,,,Clifton City
,,,,,Passaic City
,,,,,Hasbrouck Heights Boro
,,,,,Teaneck Twp
,,,,,New Milford Boro
,,,,,Teaneck Twp
,,,,,Tenafly Boro
,,,,,Gloucester Twp
,,,,,Voorhees Twp
,,,,,Newfield
,,,,,Monroe Twp
,,,,,East Greenwich Twp
,,,,,Vineland City
,,,,,Pleasantville City
,,,,,Ocean City
,,,,,Somers Point City
,,,,,Egg Harbor Twp
,,,,,West Long Branch Boro
,,,,,Ocean Twp
,,,,,Eatontown Boro
,,,,,Eatontown Boro
,,,,,Freehold
,,,,,Toms River Regional
,,,,,Toms River Regional
,,,,,Asbury Park City
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Jersey City
,,,,,Clifton City
,,,,,Hammonton Town
,,,,,Bridgewater-Raritan Reg
,,,,,Bridgewater-Raritan Reg
,,,,,Hillsborough Twp
,,,,,Hillsborough Twp
,,,,,North Plainfield Boro
,,,,,Somerville Boro
,,,,,Bridgewater-Raritan Reg
,,,,,Teaneck Twp
,,,,,Westwood Regional
,,,,,Vernon Twp
,,,,,Summit City
,,,,,West Orange Town
,,,,,Livingston Twp
,,,,,Morris School District
,,,,,Hoboken City
,,,,,East Windsor Regional
,,,,,Hopewell Valley Regional
,,,,,Tinton Falls
,,,,,Egg Harbor Twp
,,,,,Galloway Twp
,,,,,Linwood City
,,,,,Moorestown Twp
,,,,,Mount Laurel Twp
,,,,,Burlington Twp
,,,,,Cherry Hill Twp
,,,,,Cherry Hill Twp
,,,,,Cherry Hill Twp
,,,,,Oaklyn Boro
,,,,,Voorhees Twp
,,,,,Winslow Twp
,,,,,North Wildwood City
,,,,,Livingston Twp
,,,,,Newark City
,,,,,Paulsboro Boro
,,,,,Jersey City
,,,,,Union City
,,,,,Clinton Twp
,,,,,Ewing Twp
,,,,,Hopewell Valley Regional
,,,,,Hopewell Valley Regional
,,,,,Trenton City
,,,,,W Windsor-Plainsboro Reg
,,,,,Edison Twp
,,,,,East Brunswick Twp
,,,,,Old Bridge Twp
,,,,,Old Bridge Twp
,,,,,Eatontown Boro
,,,,,Fair Haven Boro
,,,,,Hazlet Twp
,,,,,Holmdel Twp
,,,,,Howell Twp
,,,,,Middletown Twp
,,,,,Neptune Twp
,,,,,Rumson Boro
,,,,,Tinton Falls
,,,,,Wall Twp
,,,,,Hanover Twp
,,,,,Parsippany-Troy Hills Twp
,,,,,Lacey Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,West Long Branch Boro
,,,,,Manalapan-Englishtown Regional
,,,,,Hackensack City
,,,,,Voorhees Twp
,,,,,East Orange
,,,,,Wayne Twp
,,,,,Hopewell Valley Regional
,,,,,W Windsor-Plainsboro Reg
,,,,,Washington Twp 
,,,,,Riverton
,,,,,Stow Creek Twp
,,,,,Clinton Twp
,,,,,Franklin Twp
,,,,,Hazlet Twp
,,,,,Jackson Twp
,,,,,Lakewood Twp
,,,,,Teaneck Twp
,,,,,Camden City
,,,,,Millburn Twp
,,,,,Newark City
,,,,,Washington Twp
,,,,,Manalapan-Englishtown Reg
,,,,,Sparta Twp
,,,,,Buena Regional
,,,,,Somers Point City
,,,,,Elmwood Park
,,,,,Englewood City
,,,,,Englewood Cliffs Boro
,,,,,Fair Lawn Boro
,,,,,Fair Lawn Boro
,,,,,Franklin Lakes Boro
,,,,,West Orange Town
,,,,,West Orange Town
,,,,,West Orange Town
,,,,,Leonia
,,,,,Mahwah Twp
,,,,,Midland Park Boro
,,,,,New Milford Boro
,,,,,New Milford Boro
,,,,,North Arlington Boro
,,,,,Oakland Boro
,,,,,Oakland Boro
,,,,,Hawthorne Boro
,,,,,Passaic County Manchester Regional High School District
,,,,,Passaic County Manchester Regional High School District
,,,,,Passaic City
,,,,,Passaic City
,,,,,Paterson City
,,,,,Paterson City
,,,,,Paterson City
,,,,,Paterson City
,,,,,Paterson City
,,,,,Prospect Park Boro
,,,,,Ringwood Boro
,,,,,Wayne Twp
,,,,,Wayne Twp
,,,,,Sparta Twp
,,,,,Sparta Twp
,,,,,Sparta Twp
,,,,,Sparta Twp
,,,,,Sparta Twp
,,,,,Sussex-Wantage Regional
,,,,,Clark Twp
,,,,,Clark Twp
,,,,,Plainfield City
,,,,,Rahway City
,,,,,Roselle Boro
,,,,,Scotch Plains-Fanwood Reg
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Westfield Town
,,,,,Westfield Town
,,,,,Westfield Town
,,,,,Blairstown Twp
,,,,,Lopatcong Twp
,,,,,Phillipsburg Town
,,,,,Hopewell Valley Regional
,,,,,Bernards Twp
,,,,,Bernards Twp
,,,,,Bridgewater-Raritan Reg
,,,,,Bridgewater-Raritan Reg
,,,,,Bridgewater-Raritan Reg
,,,,,North Plainfield Boro
,,,,,Bedminster Twp
,,,,,Bernards Twp
,,,,,Bernards Twp
,,,,,Bernards Twp
,,,,,Bernards Twp
,,,,,Bernards Twp
,,,,,Branchburg Twp
,,,,,Bridgewater-Raritan Reg
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Toms River Regional
,,,,,Kenilworth Boro
,,,,,Linden City
,,,,,Rahway City
,,,,,Scotch Plains-Fanwood Reg
,,,,,West Long Branch Boro
,,,,,Jersey City
,,,,,Clinton Twp
,,,,,Readington Twp
,,,,,Hamilton Twp
,,,,,Piscataway Twp
,,,,,South Plainfield Boro
,,,,,Howell Twp
,,,,,Wall Twp
,,,,,Madison Boro
,,,,,Clifton City
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Toms River Regional
,,,,,Hammonton Town
,,,,,Pennsville
,,,,,Cinnaminson Twp
,,,,,Cinnaminson Twp
,,,,,Evesham Twp
,,,,,Evesham Twp
,,,,,Maple Shade Twp
,,,,,Moorestown Twp
,,,,,Moorestown Twp
,,,,,Mount Laurel Twp
,,,,,Middle Twp
,,,,,North Wildwood City
,,,,,Ocean Twp
,,,,,Wall Twp
,,,,,Wall Township
,,,,,Chester Twp
,,,,,Scotch Plains-Fanwood Reg
,,,,,Collingswood Boro
,,,,,Bridgewater-Raritan Reg
,,,,,Bridgewater-Raritan Regional
,,,,,Bridgewater-Raritan Reg
,,,,,Franklin Twp
,,,,,Franklin Twp
,,,,,Franklin Twp
,,,,,Hillsborough Twp
,,,,,Hillsborough Twp
,,,,,Hillsborough Twp
,,,,,Montgomery Twp
,,,,,Montgomery Twp
,,,,,North Plainfield Boro
,,,,,Somerset Hills Regional
,,,,,Somerset Hills Regional
,,,,,Somerville Boro
,,,,,Somerville Boro
,,,,,Hillsborough Twp
,,,,,Woodbury City
,,,,,Delsea Regional
,,,,,Glassboro
,,,,,Greenwich Twp
,,,,,Gloucester City
,,,,,Gloucester Twp
,,,,,Gloucester Twp
,,,,,Gloucester Twp
,,,,,Haddon Heights Boro
,,,,,Haddon Twp
,,,,,Haddonfield Boro
,,,,,Haddonfield Boro
,,,,,Merchantville Boro
,,,,,Pennsauken Twp
,,,,,Pennsauken Twp
,,,,,Pennsauken Twp
,,,,,Runnemede Boro
,,,,,Westfield Town
,,,,,Ewing Twp
,,,,,Hopewell Valley Regional
,,,,,Hopewell Valley Regional
,,,,,Lawrence Twp
,,,,,Long Branch City
,,,,,Franklin Twp
,,,,,Franklin Twp
,,,,,Franklin Twp
,,,,,Franklin Twp
,,,,,Branchburg Twp
,,,,,Warren Twp
,,,,,Watchung Hills Reg
,,,,,Branchburg Twp
,,,,,Branchburg Twp
,,,,,Bridgewater-Raritan Reg
,,,,,Harrison Twp
,,,,,Mantua Twp
,,,,,Mantua Twp
,,,,,Monroe Twp
,,,,,Washington Twp
,,,,,Washington Twp
,,,,,Washington Twp
,,,,,West Deptford Twp
,,,,,West Deptford Twp
,,,,,Woodbury Heights Boro
,,,,,Bayonne City
,,,,,Garfield City
,,,,,Glen Rock Boro
,,,,,Hasbrouck Heights Boro
,,,,,Hasbrouck Heights Boro
,,,,,Hillsdale Boro
,,,,,Absecon City
,,,,,Atlantic City
,,,,,Buena Regional
,,,,,Egg Harbor Twp
,,,,,Galloway Twp
,,,,,Galloway Twp
,,,,,Galloway Twp
,,,,,Hamilton Twp
,,,,,Hammonton Town
,,,,,Bergenfield Boro
,,,,,Bogota Boro
,,,,,Bogota Boro
,,,,,Cresskill Boro
,,,,,Demarest Boro
,,,,,Edgewater Boro
,,,,,Emerson Boro
,,,,,Englewood City
,,,,,Englewood City
,,,,,Englewood City
,,,,,Englewood City
,,,,,Englewood City
,,,,,Fairview Boro
,,,,,Fort Lee Boro
,,,,,Verona Boro
,,,,,West Orange Town
,,,,,West Orange Town
,,,,,Clayton Boro
,,,,,Lodi Borough
,,,,,Lyndhurst Twp
,,,,,Mahwah Twp
,,,,,Pascack Valley Regional
,,,,,New Milford Boro
,,,,,River Dell Regional
,,,,,Palisades Park
,,,,,Paramus Boro
,,,,,Paramus Boro
,,,,,Paramus Boro
,,,,,Paramus Boro
,,,,,Park Ridge Boro
,,,,,Ramsey Boro
,,,,,Ramsey Boro
,,,,,River Edge Boro
,,,,,Rutherford Boro
,,,,,Rutherford Boro
,,,,,Saddle Brook Twp
,,,,,East Orange
,,,,,East Orange
,,,,,Irvington Township
,,,,,Irvington Township
,,,,,Livingston Twp
,,,,,Saddle River Boro
,,,,,Tenafly Boro
,,,,,Westwood Regional
,,,,,Burlington City
,,,,,Burlington City
,,,,,Burlington City
,,,,,Delran Twp
,,,,,Delran Twp
,,,,,Eastampton Twp
,,,,,Evesham Twp
,,,,,Evesham Twp
,,,,,Evesham Twp
,,,,,Evesham Twp
,,,,,Lumberton Twp
,,,,,Medford Twp
,,,,,Mount Holly Twp
,,,,,Willingboro Twp
,,,,,Barrington Boro
,,,,,Berlin Boro
,,,,,Camden City
,,,,,Camden City
,,,,,Camden City
,,,,,Camden City
,,,,,Cherry Hill Twp
,,,,,Cherry Hill Twp
,,,,,Cherry Hill Twp
,,,,,Cherry Hill Twp
,,,,,Cherry Hill Twp
,,,,,Cherry Hill Twp
,,,,,Stratford Boro
,,,,,Stratford Boro
,,,,,Voorhees Twp
,,,,,Voorhees Twp
,,,,,Bridgeton City
,,,,,Vineland City
,,,,,Vineland City
,,,,,Vineland City
,,,,,Belleville Town
,,,,,Bloomfield Twp
,,,,,Bloomfield Twp
,,,,,Caldwell-West Caldwell
,,,,,Caldwell-West Caldwell
,,,,,Cedar Grove Twp
,,,,,Newark City
,,,,,Newark City
,,,,,Millburn Twp
,,,,,Millburn Twp
,,,,,Millburn Twp
,,,,,Montclair Town
,,,,,Montclair Town
,,,,,Montclair Town
,,,,,Montclair Town
,,,,,Montclair Town
,,,,,Newark City
,,,,,Newark City
,,,,,Newark City
,,,,,Newark City
,,,,,Newark City
,,,,,Nutley Town
,,,,,South Orange-Maplewood 
,,,,,Bayonne City
,,,,,Bayonne City
,,,,,Bayonne City
,,,,,Hoboken City
,,,,,Hoboken City
,,,,,Hoboken City
,,,,,Hoboken City
,,,,,Hoboken City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Jersey City
,,,,,Kearny Town
,,,,,Union City
,,,,,Union City
,,,,,Union City
,,,,,Union City
,,,,,West New York Town
,,,,,Clinton Twp
,,,,,Lebanon Boro
,,,,,East Windsor Regional
,,,,,East Windsor Regional
,,,,,Marlboro Twp
,,,,,Marlboro Twp
,,,,,Marlboro Twp
,,,,,Matawan-Aberdeen Regional
,,,,,Middletown Twp
,,,,,Middletown Twp
,,,,,Middletown Twp
,,,,,Middletown Twp
,,,,,Middletown Twp
,,,,,Middletown Twp
,,,,,Middletown Twp
,,,,,Middletown Twp
,,,,,Neptune Twp
,,,,,Red Bank Boro
,,,,,Red Bank Boro
,,,,,Rumson Boro
,,,,,Shrewsbury Boro
,,,,,Spring Lake Boro
,,,,,Tinton Falls
,,,,,Tinton Falls
,,,,,Wall Twp
,,,,,Wall Twp
,,,,,Wall Twp
,,,,,West Long Branch Boro
,,,,,Chester Twp
,,,,,Denville Twp
,,,,,Florham Park Boro
,,,,,Hanover Twp
,,,,,Madison Boro
,,,,,Madison Boro
,,,,,Mendham Boro
,,,,,Morris School District
,,,,,Morris School District
,,,,,Morris School District
,,,,,Morris School District
,,,,,Morris School District
,,,,,Morris School District
,,,,,Parsippany-Troy Hills Twp
,,,,,Parsippany-Troy Hills Twp
,,,,,Parsippany-Troy Hills Twp
,,,,,Pequannock Twp
,,,,,Pequannock Twp
,,,,,Jackson Twp
,,,,,Lakewood Twp
,,,,,Lakewood Twp
,,,,,Hamilton Twp
,,,,,Hamilton Twp
,,,,,Lawrence Twp
,,,,,Lawrence Twp
,,,,,Lawrence Twp
,,,,,Princeton Regional
,,,,,Princeton Regional
,,,,,Princeton Regional
,,,,,Lawrence Twp
,,,,,Princeton Regional
,,,,,Princeton Regional
,,,,,Princeton Regional
,,,,,Trenton City
,,,,,W Windsor-Plainsboro Reg
,,,,,Carteret Boro
,,,,,East Brunswick Twp
,,,,,Edison Twp
,,,,,Edison Twp
,,,,,Edison Twp
,,,,,Edison Twp
,,,,,Edison Twp
,,,,,Edison Twp
,,,,,Edison Twp
